GEO,POB,SEX,LMS,ROY,COC,AGE,TIME,PROVIDER,VALUE,FLAGS,FOOTNOTES
DE80F,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,91907,,,
DE80G,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,83365,,,
DE80H,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,58967,,,
DE80I,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,61805,,,
DE9,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,6600490,,,
DE91,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1317189,,,
DE911,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,197613,,,
DE912,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,75197,,,
DE913,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,87462,,,
DE914,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,141205,,,
DE915,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,212343,,,
DE916,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,120596,,,
DE917,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,79899,,,
DE918,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,118471,,,
DE919,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,67528,,,
DE91A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,111619,,,
DE91B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,105256,,,
DE92,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1728743,,,
DE922,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,184732,,,
DE923,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,125138,,,
DE925,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,237698,,,
DE926,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,62978,,,
DE927,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,103862,,,
DE928,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,135403,,,
DE929,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,878932,,,
DE93,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1457006,,,
DE931,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,150448,,,
DE932,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,178117,,,
DE933,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,210170,,,
DE934,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,43392,,,
DE935,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,150800,,,
DE936,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,98282,,,
DE937,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,144334,,,
DE938,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,117366,,,
DE939,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,169360,,,
DE93A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,81087,,,
DE93B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,113650,,,
DE94,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,2097552,,,
DE941,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,58594,,,
DE942,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,44207,,,
DE943,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,133696,,,
DE944,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,125065,,,
DE945,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,66366,,,
DE946,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,105918,,,
DE947,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,173444,,,
DE948,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,128024,,,
DE949,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,266928,,,
DE94A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,90099,,,
